Key,Value
T1094,Some Software variants use raw TCP for C2.
T1047,Software leverages WMI to enumerate anti-virus on the victim.
T1003.001,Software contains an implementation of Software to gather credentials from memory.
T1614.001,Attacker has used implants to collect the system language ID of a compromised machine.
T1587.001,For Software modular backdoor.
T1021.001,Attacker has used Remote Desktop Protocol to conduct lateral movement.
T1055.013,This behavior will likely not result in elevated privileges since the injected process was spawned from  of the injecting process.
T1559,"Software has the ability to move data between its kernel and user mode components, generally using named pipes."
T1070.004,Software is capable of deleting files.
T1070.004,Software is capable of deleting files. It has been observed loading a Linux Kernel Module  and then deleting it from the hard disk as well as overwriting the data with null bytes.
T1573.001,Software uses RC4 and XOR to encrypt C2 traffic.
T1543.003,Software has been installed as a Windows service.
T1074.001,Software can stage local data in the Windows Registry.
T1588.001,Software in its operations.
T1518,Software can list PHP server configuration details.
T1557.001,Link-Local Multicast Name Resolution  and NetBIOS Name Service  are Microsoft Windows components that serve as alternate methods of host identification.
T1134,Software has used <code>SeDebugPrivilege</code> and <code>AdjustTokenPrivileges</code> to elevate privileges.
T1596.001,"Information from these sources may reveal opportunities for other forms of reconnaissance  or ), establishing operational resources  or ), and/or initial access  or )."
T1488,"Instead of wiping specific disk structures or files, adversaries with destructive intent may wipe arbitrary portions of disk content."
T1554,Software replaced the SSH client with a trojanized SSH client to steal credentials on compromised systems.
T1055.012,Software can use process hollowing for execution.
T1016,Software can collect the network interface MAC address on the infected host.
T1135,Software enumerates open SMB shares on internal victim networks.
T1588.002,"Software, and AirVPN for post-exploitation activities."
T1497.003,"For example, an adversary may be able to identify a sandbox accelerating time by sampling and calculating the expected value for an environment's timestamp before and after execution of a sleep function."
T1543.002,"The .service file’s User directive can be used to run service as a specific user, which could result in privilege escalation based on specific user/group permissions."
T1608.005,"Links can be used for spearphishing, such as sending an email accompanied by social engineering text to coax the user to actively click or copy and paste a URL into a browser."
T1526,"These methods can differ from platform-as-a-service , to infrastructure-as-a-service , or software-as-a-service ."
T1057,Software may collect information about running processes.
T1005,"Attacker uploaded sensitive files, information, and credentials from a targeted organization for extortion or public release."
T1527,"Adversaries may use application access tokens to bypass the typical authentication process and access restricted accounts, information, or services on remote systems."
T1573.001,Software uses AES to encrypt certain information sent over its C2 channel.
T1218.010,Attacker has used rgsvr32 to execute custom malware.
T1047,Software can use WMI to delete Shadow Volumes.
T1069.001,Software malware to list local groups: <code>net localgroup administrator >> %temp%\download</code>
T1218.011,Attacker has utilized `rundll32.exe` to deploy ransomware commands with the use of WebDAV.
T1132,"Some data encoding systems may also result in data compression, such as gzip."
T1614.001,Software can identify the system language on a compromised host.
T1027,"Adversaries may also use compressed or archived scripts, such as JavaScript."
T1055.009,"Once enumerated, the target processes’ memory map within <code>/proc//maps</code> can be overwritten using dd."
T1125,Software has a feature to access the webcam on the victim’s machine.
T1562.009,Adversaries may abuse safe mode to disable endpoint defenses that may not start with a limited boot.
T1571,Software has used a custom RC4 and XOR encrypted protocol over port 443 for C2.
T1059.003,Software creates a command-line shell using cmd.exe.
T1570,During the Attacker used `move` to transfer files to a network share.
T1059.003,Software can launch a command shell interface for executing commands.
T1071,Attacker used SMB for C2.
T1025,The Software FilePakMonitor component has the ability to collect files from removable devices.
T1499.002,"Web server software can be attacked through a variety of means, some of which apply generally while others are specific to the software being used to provide the service."
T1056.002,Software prompts the user for their credentials.
T1059.001,Software has used Powershell scripts to deploy its ransomware.
T1543.002,Systemd utilizes unit configuration files with the `.service` file extension to encode information about a service's process.
T1115,Software contains code to open and copy data from the clipboard.
T1113,Software has the ability to do real time screen viewing on an infected host.
T1083,Software has the ability to enumerate files and directories on a compromised host.
T1580,"This includes compute service resources such as instances, virtual machines, and snapshots as well as resources of other services including the storage and database services."
T1518,"Adversaries may attempt to enumerate software for a variety of reasons, such as figuring out what security measures are present or if the compromised system has a version of software that is vulnerable to ."
T1055.003,"Thread Execution Hijacking is commonly performed by suspending an existing process then unmapping/hollowing its memory, which can then be replaced with malicious code or the path to a DLL."
T1043,"Software uses ports 80, 443, and 8080 for C2."
T1027,Software obfuscates its code and encrypts the API names.
T1104,The different stages will likely be hosted separately with no overlapping infrastructure.
T1151,"With certain file types , appending a space to the end of a filename will change how the file is processed by the operating system."
T1566.002,Software has been distributed via spearphishing link.
T1055.012,A Attacker payload uses process hollowing to hide the UAC bypass vulnerability exploitation inside svchost.exe.
T1562.002,"Additionally, adversaries may use <code>auditpol</code> and its sub-commands in a command prompt to disable auditing or clear the audit policy."
T1614.001,Software has checked the results of the <code>GetKeyboardLayoutList</code> and the language name returned by <code>GetLocaleInfoA</code> to make sure they contain the word “Arabic” before executing.
T1653,"Aware that some malware cannot survive system reboots, adversaries may entirely delete files used to invoke system shut down or reboot."
T1105,Software has downloaded additional Lua scripts from the C2.
T1012,Software checks for specific registry keys related to the <code>UCOMIEnumConnections</code> and <code>IActiveScriptParseProcedure32</code> interfaces.
T1218.004,Attacker has used <code>InstallUtil.exe</code> to execute a malicious Beacon stager.
T1558.004,"When enabled, a user requesting access to a resource initiates communication with the Domain Controller  by sending an Authentication Server Request  message with a timestamp that is encrypted with the hash of their password."
T1005,Software can collect data from a local system.
T1205.002,Communication with these socket filters may also be used in conjunction with .
T1547.006,"When used maliciously, LKMs can be a type of kernel-mode  that run with the highest operating system privilege ."
T1134.004,This functionality is used by Windows features such as User Account Control  to correctly set the PPID after a requested elevated process is spawned by SYSTEM  rather than the current user context.
T1562.001,Attacker has disabled antivirus services on targeted systems in order to upload malicious payloads.
T1547.001,Software has created a new registry entry at <code>HKEY_CURRENT_USERS\Software\Microsoft\Windows\CurrentVersion\Run\Graphics</code> with a value of <code>C:\ProgramData\Initech\Initech.exe /run</code>.
T1074,Software modules.
T1546.003,Attacker has complied VBScript-generated MOF files into WMI event subscriptions for persistence.
T1127.001,Attacker has used MSbuild to execute an actor-created file.
T1518.001,"Software can check for the presence of network sniffers, AV, and BitDefender firewall."
T1021.004,Attacker has used Putty to access compromised systems.
T1140,Software can decrypt strings with a key either stored in the Registry or hardcoded in the code.
T1110.003,Adversaries may use a single or small list of commonly used passwords against many different accounts to attempt to acquire valid account credentials.
T1083,Software can walk through directories and recursively search for strings in files.
T1020.001,Many cloud-based environments also support traffic mirroring.
T1204.002,Software has relied on a victim to enable malicious macros within an attachment delivered via email.
T1010,Software captures window titles.
T1136.002,The <code>net user username \password \domain</code> commands in Software can be used to create a domain account.
T1166,"The <code>chmod</code> program can set these bits with via bitmasking, <code>chmod 4777 </code> or via shorthand naming, <code>chmod u+s </code>."
T1055.002,Software can inject its backdoor as a portable executable into a target process.
T1069.001,Software can obtain a list of local groups and members.
T1018,Software can use LDAP queries to connect to AD and iterate over connected workstations.
T1071.003,Software has the ability to use a Microsoft Outlook backdoor macro to communicate with its C2.
T1034,"An adversary can place an executable in a higher level directory of the path, and Windows will resolve that executable instead of the intended executable."
T1071.004,Software has encoded outbound C2 communications in DNS requests consisting of character strings made to resemble standard domain names. The actual information transmitted by Software is contained in the part of the character string prior to the first ‘.’ character.
T1547.004,Software adds the Registry key <code>HKCU\Software\Microsoft\Windows NT\CurrentVersion\Winlogon</code> to establish persistence.
T1209,The Windows Time service  enables time synchronization across and within domains.
T1113,Software can take screenshots on compromised hosts.
T1059.001,Examples include the <code>Start-Process</code> cmdlet which can be used to run an executable and the <code>Invoke-Command</code> cmdlet which runs a command locally or on a remote computer .
T1562.008,"In Office 365, an adversary may disable logging on mail collection activities for specific users by using the `Set-MailboxAuditBypassAssociation` cmdlet, by disabling M365 Advanced Auditing for the user, or by downgrading the user’s license from an Enterprise E5 to an Enterprise E3 license."
T1547.012,Software can drop itself in <code>C:\Windows\System32\spool\prtprocs\x64\winprint.dll</code> to be loaded automatically by the spoolsv Windows service.
T1010,Window listings could convey information about how the system is used.
T1548.002,Malicious software may also be injected into a trusted process to gain elevated privileges without prompting a user.
T1161,Adversaries can remediate this issue by simply removing the LC_CODE_SIGNATURE command from the binary so that the signature isn’t checked at load time .
T1574.012,A process scope COR_PROFILER can also be created in-memory without modifying the Registry.
T1016,Software collects the MAC address of the target computer and other network configuration information.
T1573.001,Software has encrypted C2 commands with AES-256.
T1161,Mach-O binaries have a series of headers that are used to perform certain operations when a binary is loaded.
T1588.001,"Adversaries may buy, steal, or download malware that can be used during targeting."
T1566.001,Attacker has sent spearphishing emails containing malicious attachments.
T1205.002,The filter may apply to all traffic passing through the specified network interface .
T1621,During Attacker attempted to gain access by continuously sending MFA messages to the victim until they accept the MFA push challenge.
T1574.004,Adversaries may execute their own payloads by placing a malicious dynamic library  with an expected name in a path a victim application searches at runtime.
T1018,"Attacker has used PowerView to enumerate all Windows Server, Windows Server 2003, and Windows 7 instances in the Active Directory database."
T1566.003,Attacker has used the legitimate mailing service Constant Contact to send phishing e-mails.
T1064,Attacker used PowerShell scripts for execution.
T1016,Software can collect IP addresses from a compromised host.
T1055.012,"Software can inject into a target process including Svchost, Explorer, and cmd using process hollowing."
T1071.001,Attacker has used HTTP to communicate with C2 nodes.
T1574.006,Adversaries may execute their own malicious payloads by hijacking environment variables the dynamic linker uses to load shared libraries.
T1584.001,Attacker has compromised domains to use for C2.
T1518.001,"Software can enumerate AWS security services, including WAF rules and GuardDuty detectors."
T1047,Attacker has used WMI to execute scripts for post exploit document collection.
T1591.002,Attacker has gathered detailed knowledge of an organization's supply chain relationships.
T1034,"There are multiple distinct weaknesses or misconfigurations that adversaries may take advantage of when performing path interception: unquoted paths, path environment variable misconfigurations, and search order hijacking."
T1055,"During , threat actors leveraged embedded shellcode to inject a downloader into the memory of Word."
T1569.001,"Launchctl supports taking subcommands on the command-line, interactively, or even redirected from standard input."
T1071.001,"An adversary may abuse these protocols to communicate with systems under their control within a victim network while also mimicking normal, expected traffic."
T1215,They extend the functionality of the kernel without the need to reboot the system.
T1566.001,During the Attacker obtained their initial foothold into many IT systems using Microsoft Office attachments delivered through phishing emails.
T1053.005,In the Attacker installed scheduled tasks defined in XML files.
T1547.001,Software has modified the <code>HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run</code> key for persistence.
T1564.003,Software droppers have used COM properties to execute malware in hidden windows.
T1047,Software for lateral movement via WMI.
T1003.001,Software has been observed dropping password grabber modules including Software.
T1003.001,Software can dump credentials.
T1083,"Software has the ability to index files from drives, user profiles, and removable drives."
T1021,Software can manage remote screen sessions.
T1059,"Attacker used various implants, including those built on .NET, on target machines."
T1112,Attacker modified the registry using the command <code>reg add “HKEY_CURRENT_USER\Environment” /v UserInitMprLogonScript /t REG_SZ /d “”</code> for persistence.
T1490,Software deletes backups and shadow copies using native system tools.
T1106,Software can use Native API to create a new process and to start services.
T1010,Software has a command to capture active windows on the machine and retrieve window titles.
T1105,Software can download files to a compromised host.
T1087.001,Software has a command to retrieve information about connected users.
T1127,These utilities may often be signed with legitimate certificates that allow them to execute on a system and proxy execution of malicious code through a trusted process that effectively bypasses application control solutions.
T1005,Software has the capability to upload collected files to C2.
T1055.004,Software has used the NtQueueApcThread syscall to inject code into svchost.exe.
T1082,"Software executes a set of commands to collect device information, including `uname`.  Another example is the `cat /etc/*release | uniq` command used to collect the current OS distribution."
T1195.002,Attacker has distributed ransomware by backdooring software installers via a strategic web compromise of the site hosting Italian WinRAR.
T1546.014,Adversaries may also be able to escalate privileges from administrator to root as the emond service is executed with root privileges by the  service.
T1552.003,"Bash keeps track of the commands users type on the command-line with the ""history"" utility."
T1106,Adversaries may use assembly to directly or in-directly invoke syscalls in an attempt to subvert defensive sensors and detection signatures such as user mode API-hooks.
T1104,"An Attacker downloader first establishes a SOCKS5 connection to 192.157.198103 using TCP port 1913; once the server response is verified, it then requests a connection to 192.184.60229 on TCP port 81."
T1218.014,"For example, <code>mmc wbadmin.msc delete catalog -quiet</code> deletes the backup catalog on the system (i.e."
T1585.001,Attacker has created fake LinkedIn and other social media accounts to contact targets and convince them--through messages and voice communications--to open malicious links.
T1564.001,Many applications create these hidden files and folders to store information so that it doesn’t clutter up the user’s workspace.
T1046,"During , the threat actors employed nmap and pscan to scan target environments."
T1090.003,This method is dependent upon the  method allowing the adversaries to cross the protected network boundary of the Internet perimeter and into the organization’s Wide-Area Network .
T1566.002,Attacker has used spearphishing e-mails with malicious links to deliver malware.
T1055,Software can inject a payload into the memory of a compromised host.
T1105,Attacker has delivered trojanized executables via spearphishing emails that contacts actor-controlled servers to download malicious payloads.
T1530,Attacker has obtained files from the victim's cloud storage instances.
